제품코드,적용시작일자,급여기준,상한가,가산금,투여경로,제품명,규격,단위,업체명,분류번호,주성분코드,전문/일반,퇴장방지,의약품동등성,저가대체가산여부,예외의약품구분,임의조제불가항목,고시일자,대응코드,희귀의약품구분,판매예정일,동일 의약품,청구규격,본인부담률D(30%)여부,본인부담률A(50%)여부,본인부담률B(80%)여부,선별급여여부,변경이전약품코드,변경이후약품코드,ATC코드,ATC코드_명칭,eng_ingredient_from_benefit
050100010,2023-10-01,급여,470,,내복,아셀렉스캡슐2밀리그램(폴마콕시브)_(2mg/1캡슐),1,캡슐,크리스탈지노믹스(주),114,636401ACH,전문의약품,,,,,,2022-10-25,,,,,1,,,,,,,,,polmacoxib 2mg
050100020,2023-10-01,급여,470,,내복,아셀렉스정2밀리그램(폴마콕시브)_(2mg/1정),1,정,크리스탈지노믹스(주),114,636401ATB,전문의약품,,,,,,2022-10-25,,,,,1,,,,,,,,,polmacoxib 2mg
050400011,2023-09-01,급여,1118490,,주사,"옵디보주100mg(니볼루맙,유전자재조합)_(0.1g/10mL)",10,mL/병,한국오노약품공업(주),421,638401BIJ,전문의약품,,,,,,2023-09-01,,,,,10,,,,,,,,,nivolumab 0.1g(10mg/mL)
050400021,2023-09-01,급여,279568,,주사,"옵디보주20mg(니볼루맙,유전자재조합)_(20mg/2mL)",2,mL/병,한국오노약품공업(주),421,638402BIJ,전문의약품,,,,,,2023-09-01,,,,,2,,,,,,,,,nivolumab 20mg(10mg/mL)
050400031,2023-09-01,급여,2534904,,주사,"옵디보주240mg(니볼루맙,유전자재조합)_(0.24g/24mL)",24,mL/병,한국오노약품공업주식회사,421,638403BIJ,전문의약품,,,,,,2023-09-01,,,,,24,,,,,,,,,nivolumab 0.24g(10mg/mL)
050400040,2024-01-01,급여,56023,,내복,비라토비캡슐75밀리그램(엔코라페닙)_(75mg/1캡슐),1,캡슐,한국오노약품공업주식회사,421,702301ACH,전문의약품,,,,(45),,2023-12-22,,희귀의약품,,,1,,,,,,,,,encorafenib 75mg
050500011,2018-10-01,삭제,,0,주사,"애드베이트주(혈액응고인자 VIII, 유전자재조합)_(250I.U/1병)",250(1),I.U/병,박스앨타(유),339,431630BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500011,052800061,,,recombinant blood coagulation factor VIII 250I.U
050500012,2018-10-01,삭제,,0,주사,"애드베이트주(혈액응고인자 VIII, 유전자재조합)_(500I.U/1병)",500(1),I.U/병,박스앨타(유),339,431631BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500012,052800062,,,recombinant blood coagulation factor VIII 500I.U
050500013,2018-10-01,삭제,,0,주사,"애드베이트주(혈액응고인자 VIII, 유전자재조합)_(1KI.U/1병)",1000(1),I.U/병,박스앨타(유),339,431632BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500013,052800063,,,recombinant blood coagulation factor VIII 1KI.U
050500014,2018-10-01,삭제,,0,주사,"애드베이트주(혈액응고인자 VIII, 유전자재조합)_(1.5KI.U/1병)",1500(1),I.U/병,박스앨타(유),339,431633BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500014,052800064,,,recombinant blood coagulation factor VIII 1.5KI.U
050500021,2018-10-01,삭제,,,주사,"릭수비스주(혈액응고인자IX, 노나코그감마(유전자재조합))_(250I.U)",250(1),I.U/병,박스앨타(유),339,649701BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500021,052800051,,,"recombinant blood coagulation factor IX, nonacog gamma 250I.U"
050500022,2018-10-01,삭제,,,주사,"릭수비스주(혈액응고인자IX, 노나코그감마(유전자재조합))_(500I.U)",500(1),I.U/병,박스앨타(유),339,649702BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500022,052800052,,,"recombinant blood coagulation factor IX, nonacog gamma 500I.U"
050500023,2018-10-01,삭제,,,주사,"릭수비스주(혈액응고인자IX, 노나코그감마(유전자재조합))_(1000I.U)",1000(1),I.U/병,박스앨타(유),339,649703BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500023,052800053,,,"recombinant blood coagulation factor IX, nonacog gamma 1KI.U"
050500024,2018-10-01,삭제,,,주사,"릭수비스주(혈액응고인자IX, 노나코그감마(유전자재조합))_(2000I.U)",2000(1),I.U/병,박스앨타(유),339,649704BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500024,052800054,,,"recombinant blood coagulation factor IX, nonacog gamma 2KI.U"
050500025,2018-10-01,삭제,,,주사,"릭수비스주(혈액응고인자IX, 노나코그감마(유전자재조합))_(3000I.U)",3000(1),I.U/병,박스앨타(유),339,649705BIJ,전문의약품,,,,,,2018-03-26,,,,,1,,,,,050500025,052800055,,,"recombinant blood coagulation factor IX, nonacog gamma 3KI.U"
050700020,2016-07-01,산정불가,,,주사,보인에이.씨.디.에이액,1,mL,태창산업(주),333,380700BIJ,전문의약품,,,,,,2016-06-23,,,,,1,,,,,621600010,,,,anhydrous citric acid 7.3mg
050700040,2017-09-01,삭제,,,주사,보인-씨피디액,1,mL,태창산업(주),333,651000BIJ,전문의약품,,,,,,2017-02-23,,,,,1,,,,,050700040,,,,
050700050,2017-09-01,삭제,,,주사,보인-씨.피.디.에이원항응고액,1,mL,태창산업(주),333,400200BIJ,전문의약품,,,,,,2017-02-23,,,,,1,,,,,050700050,,,,
050700060,2017-09-01,삭제,,,주사,에드-엠(ADD-M)액,1,mL,태창산업(주),333,650800BIJ,전문의약품,,,,,,2017-02-23,,,,,1,,,,,050700060,,,,
050800010,2016-10-01,삭제,,,주사,리브감마에스앤주[말토즈첨가사람면역글로불린(pH4.25)],10,mL/병,에스케이플라즈마(주),634,169904BIJ,전문의약품,원가보전,,,,,2015-12-22,,,,,10,,,,,050800010,050800011,,,
050800011,2024-06-01,급여,29496,,주사,리브감마에스앤주5%[말토즈첨가사람면역글로불린(pH4.25)]_(0.5g/10mL),10,mL/병,에스케이플라즈마(주),634,169930BIJ,전문의약품,원가보전,,,,,2024-05-30,,,,,10,,,,,050800010,,,,human immunoglobulin G(폴리에칠렌글리콜처리) 0.5g(50mg/mL)
050800020,2016-10-01,삭제,,,주사,리브감마에스앤주[말토즈첨가사람면역글로불린(pH4.25)],1,g/병,에스케이플라즈마(주),634,169901BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,1,,,,,050800020,050800021,,,
050800021,2024-06-01,급여,41605,,주사,리브감마에스앤주5%[말토즈첨가사람면역글로불린(pH4.25)]_(1g/20mL),20,mL/병,에스케이플라즈마(주),634,169931BIJ,전문의약품,원가보전,,,,,2024-05-30,,,,,20,,,,,050800020,,,,human immunoglobulin G(폴리에칠렌글리콜처리) 1g(50mg/mL)
050800030,2016-10-01,삭제,,,주사,리브감마에스앤주[말토즈첨가사람면역글로불린(pH4.25)],2.5,g/병,에스케이플라즈마(주),634,169902BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,2.5,,,,,050800030,050800031,,,
050800031,2024-06-01,급여,90062,,주사,리브감마에스앤주5%[말토즈첨가사람면역글로불린(pH4.25)]_(2.5g/50mL),50,mL/병,에스케이플라즈마(주),634,169932BIJ,전문의약품,원가보전,,,,,2024-05-30,,,,,50,,,,,050800030,,,,human immunoglobulin G(폴리에칠렌글리콜처리) 2.5g(50mg/mL)
050800050,2016-10-01,삭제,,,주사,리브감마에스앤주[말토즈첨가사람면역글로불린(pH4.25)],3,g/병,에스케이플라즈마(주),634,169903BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,3,,,,,050800050,050800051,,,
050800051,2024-06-01,급여,105689,,주사,리브감마에스앤주5%[말토즈첨가사람면역글로불린(pH4.25)]_(3g/60mL),60,mL/병,에스케이플라즈마(주),634,169933BIJ,전문의약품,원가보전,,,,,2024-05-30,,,,,60,,,,,050800050,,,,human immunoglobulin G(폴리에칠렌글리콜처리) 3g(50mg/mL)
050800071,2024-10-01,급여,176148,,주사,리브감마에스앤주5%[말토즈첨가사람면역글로불린(pH4.25)]_(5g/100mL),100,mL/병,에스케이플라즈마(주),634,169934BIJ,전문의약품,,,,,,2024-09-25,,,,,100,,,,,050800071,,,,human immunoglobulin G(폴리에칠렌글리콜처리) 5g(50mg/mL)
050800080,2016-10-01,삭제,,,주사,"리브감마주(말토즈첨가사람면역글로불린pH4.25)(수출명: S/D Treated Immunoglobuline Inj.,글로부셀,노글로빈,감마렌,하이아이지,플라스마글로브,엘-글로브,아이브이아이지)",0.5,g/병,에스케이플라즈마(주),634,169904BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,0.5,,,,,050800080,050800081,,,
050800081,2018-06-01,삭제,,,주사,"리브감마주(말토즈첨가사람면역글로불린pH4.25)(수출명: S/D Treated Immunoglobuline Inj.,글로부셀,노글로빈,감마렌,하이아이지,플라스마글로브,엘-글로브,아이브이아이지)_(0.5g/10mL)",10,mL/병,에스케이플라즈마(주),634,169930BIJ,전문의약품,원가보전,,,,,2018-05-28,,,,,10,,,,,050800081,,,,human immunoglobulin G(폴리에칠렌글리콜처리) 0.5g(50mg/mL)
050800090,2016-10-01,삭제,,,주사,"리브감마주(말토즈첨가사람면역글로불린pH4.25)(수출명: S/D Treated Immunoglobuline Inj.,글로부셀,노글로빈,감마렌,하이아이지,플라스마글로브,엘-글로브,아이브이아이지)",1,g/병,에스케이플라즈마(주),634,169901BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,1,,,,,050800090,050800091,,,
050800091,2019-11-07,삭제,,,주사,"리브감마주(말토즈첨가사람면역글로불린pH4.25)(수출명: S/D Treated Immunoglobuline Inj.,글로부셀,노글로빈,감마렌,하이아이지,플라스마글로브,엘-글로브,아이브이아이지)_(1g/20mL)",20,mL/병,에스케이플라즈마(주),634,169931BIJ,전문의약품,원가보전,,,,,2019-10-30,,,,,20,,,,,050800091,,,,human immunoglobulin G(폴리에칠렌글리콜처리) 1g(50mg/mL)
050800100,2016-10-01,삭제,,,주사,"리브감마주(말토즈첨가사람면역글로불린pH4.25)(수출명: S/D Treated Immunoglobuline Inj.,글로부셀,노글로빈,감마렌,하이아이지,플라스마글로브,엘-글로브,아이브이아이지)",2.5,g/병,에스케이플라즈마(주),634,169902BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,2.5,,,,,050800100,050800101,,,
050800101,2020-07-01,삭제,,,주사,"리브감마주(말토즈첨가사람면역글로불린pH4.25)(수출명: S/D Treated Immunoglobuline Inj.,글로부셀,노글로빈,감마렌,하이아이지,플라스마글로브,엘-글로브,아이브이아이지)_(2.5g/50mL)",50,mL/병,에스케이플라즈마(주),634,169932BIJ,전문의약품,원가보전,,,,,2019-12-20,,,,,50,,,,,050800101,,,,human immunoglobulin G(폴리에칠렌글리콜처리) 2.5g(50mg/mL)
050800110,2016-10-01,삭제,,,주사,"리브감마주(말토즈첨가사람면역글로불린pH4.25)(수출명: S/D Treated Immunoglobuline Inj.,글로부셀,노글로빈,감마렌,하이아이지,플라스마글로브,엘-글로브,아이브이아이지)",3,g/병,에스케이플라즈마(주),634,169903BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,3,,,,,050800110,050800111,,,
050800111,2018-06-01,삭제,,,주사,"리브감마주(말토즈첨가사람면역글로불린pH4.25)(수출명: S/D Treated Immunoglobuline Inj.,글로부셀,노글로빈,감마렌,하이아이지,플라스마글로브,엘-글로브,아이브이아이지)_(3g/60mL)",60,mL/병,에스케이플라즈마(주),634,169933BIJ,전문의약품,원가보전,,,,,2018-05-28,,,,,60,,,,,050800111,,,,human immunoglobulin G(폴리에칠렌글리콜처리) 3g(50mg/mL)
050800150,2016-10-01,삭제,,0,주사,"에스케이알부민5%주(사람혈청알부민)(수출명:Solbumin5%,Albumin5%,SKAlbumin5%inj)",250,mL/병,에스케이플라즈마(주),634,227103BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,250,,,,,050800150,050800151,,,human serum albumin 12.5g(50mg/mL)
050800151,2024-06-01,급여,69610,,주사,"에스케이알부민5%주(사람혈청알부민)(수출명:Solbumin5%,Albumin5%,SKAlbumin5%inj)_(12.5g/250mL)",250,mL/병,에스케이플라즈마(주),634,227103BIJ,전문의약품,원가보전,,,,,2024-05-30,,,,,250,,,,,050800150,,,,human serum albumin 12.5g(50mg/mL)
050800190,2016-10-01,삭제,,,주사,테타불린에스앤주(항파상풍사람면역글로불린)(수출명: T-Globulin: Tetanus Human Immunoglobulin Inj.),1,병,에스케이플라즈마(주),634,169301BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,1,,,,,050800190,050800191,,,human tetanus immunoglobulin 250I.U(250I.U/mL)
050800191,2022-08-01,삭제,,,주사,테타불린에스앤주(항파상풍사람면역글로불린)(수출명: T-Globulin: Tetanus Human Immunoglobulin Inj.)_(250I.U/1mL),1,mL/병,에스케이플라즈마(주),634,169301BIJ,전문의약품,원가보전,,,,,2022-01-26,,,,,1,,,,,050800191,,,,human tetanus immunoglobulin 250I.U(250I.U/mL)
050800200,2016-10-01,삭제,,0,주사,에스케이항트롬빈III주500단위(건조농축사람항트롬빈III),500,I.U/병,에스케이플라즈마(주),634,109301BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,500,,,,,050800200,050800201,,,freeze-dried concentrated human antithrombin III 500I.U
050800201,2024-06-01,급여,201589,,주사,에스케이항트롬빈III주500단위(건조농축사람항트롬빈III)_(500I.U/1병),1,병,에스케이플라즈마(주),634,109301BIJ,전문의약품,원가보전,,,,,2024-05-30,,,,,1,,,,,050800200,,,,freeze-dried concentrated human antithrombin III 500I.U
050800210,2016-10-01,삭제,,,주사,에트비주250단위(건조농축사람 혈액응고제VIII인자(건조열처리))),250,I.U/병,에스케이플라즈마(주),634,169702BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,250,,,,,050800210,050800211,,,human blood coagulation factor VIII 250I.U
050800211,2017-02-01,급여,171,,주사,에트비주250단위(건조농축사람 혈액응고제VIII인자(건조열처리))_(250I.U),250(1),I.U/병,에스케이플라즈마(주),634,169702BIJ,전문의약품,원가보전,,,,,2017-01-20,,,,,1,,,,,050800210,,,,human blood coagulation factor VIII 250I.U
050800220,2016-10-01,삭제,,,주사,"에스케이알부민20%주(사람혈청알부민)(수출명:Solbumin20%,Albumin20%,DSAlbumin20%inj, 알부셀, 휴민20, 알부렌, 알부맥스)",50,mL/병,에스케이플라즈마(주),634,227101BIJ,전문의약품,원가보전,,,,,2015-12-22,,,,,50,,,,,050800220,050800221,,,human serum albumin 10g(0.2g/mL)
050800221,2024-06-01,급여,55688,,주사,"에스케이알부민20%주(사람혈청알부민)(수출명:Solbumin20%,Albumin20%,DSAlbumin20%inj, 알부셀, 휴민20, 알부렌, 알부맥스)_(10g/50mL)",50,mL/병,에스케이플라즈마(주),634,227101BIJ,전문의약품,원가보전,,,,,2024-05-30,,,,,50,,,,,050800220,,,,human serum albumin 10g(0.2g/mL)
050800230,2016-10-01,삭제,,0,주사,"에스케이알부민20%주(사람혈청알부민)(수출명:Solbumin20%,Albumin20%,DSAlbumin20%inj, 알부셀, 휴민20, 알부렌, 알부맥스)",100,mL/병,에스케이플라즈마(주),634,227104BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,100,,,,,050800230,050800231,,,human serum albumin 20g(0.2g/mL)
050800231,2024-06-01,급여,111376,,주사,"에스케이알부민20%주(사람혈청알부민)(수출명:Solbumin20%,Albumin20%,DSAlbumin20%inj, 알부셀, 휴민20, 알부렌, 알부맥스)_(20g/100mL)",100,mL/병,에스케이플라즈마(주),634,227104BIJ,전문의약품,원가보전,,,,,2024-05-30,,,,,100,,,,,050800230,,,,human serum albumin 20g(0.2g/mL)
050800240,2016-10-01,삭제,,,주사,정주용 헤파불린에스앤주(정맥주사용 B형 간염 사람면역글로불린),10,mL/병,에스케이플라즈마(주),634,363506BIJ,전문의약품,,,,,,2015-12-09,,,,,10,,,,,050800240,050800241,,,
050800241,2021-03-05,급여,216752,,주사,정주용 헤파불린에스앤주(정맥주사용 B형 간염 사람면역글로불린)_(2KI.U/10mL),10,mL/병,에스케이플라즈마(주),634,363533BIJ,전문의약품,원가보전,,,,,2021-02-26,,,,,10,,,,,050800240,,,,human anti-hepatitis B immunoglobulin(I.V.) 2KI.U(200I.U/mL)
050800260,2016-10-01,삭제,,,주사,에스케이수두사람면역글로불린주,5,mL/병,에스케이플라즈마(주),634,174102BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,5,,,,,050800260,050800261,,,
050800261,2018-06-01,삭제,,,주사,에스케이수두사람면역글로불린주_(250U/5mL),5,mL/병,에스케이플라즈마(주),634,174131BIJ,전문의약품,원가보전,,,,,2018-05-28,,,,,5,,,,,050800261,,,,
050800340,2016-10-01,삭제,,,주사,헤파불린주(B형간염사람면역글로불린)(수출명:HepatitisBHumanImmunoglobulinInj),25,mL/병,에스케이플라즈마(주),634,363502BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,25,,,,,050800340,050800341,,,
050800341,2018-06-01,삭제,,,주사,헤파불린주(B형간염사람면역글로불린)(수출명:HepatitisBHumanImmunoglobulinInj)_(5000unit/25mL),25,mL/병,에스케이플라즈마(주),634,363531BIJ,전문의약품,원가보전,,,,,2018-05-28,,,,,25,,,,,050800341,,,,
050800350,2016-10-01,삭제,,,주사,헤파불린주(B형간염사람면역글로불린)(수출명:HepatitisBHumanImmunoglobulinInj),50,mL/병,에스케이플라즈마(주),634,363503BIJ,전문의약품,원가보전,,,,,2015-12-09,,,,,50,,,,,050800350,050800351,,,
050800351,2018-06-01,삭제,,,주사,헤파불린주(B형간염사람면역글로불린)(수출명:HepatitisBHumanImmunoglobulinInj)_(10000unit/50mL),50,mL/병,에스케이플라즈마(주),634,363532BIJ,전문의약품,원가보전,,,,,2018-05-28,,,,,50,,,,,050800351,,,,human anti-hepatitis B immunoglobulin(I.V.) 10KI.U(200I.U/mL)
050800361,2022-01-01,급여,21563,,주사,테타불린에스앤주프리필드시린지(항파상풍사람면역글로불린)_(250I.U/1mL),1,mL/관,에스케이플라즈마(주),634,169301BIJ,전문의약품,원가보전,,,,,2021-12-23,,,,,1,,,,,,,,,human tetanus immunoglobulin 250I.U(250I.U/mL)
050800381,2020-04-01,급여,1083760,0,주사,정주용 헤파불린에스앤주(정맥주사용 B형 간염 사람면역글로불린)_(10KI.U/50mL),50,mL/병,에스케이플라즈마(주),634,363532BIJ,전문의약품,원가보전,,,,,2020-03-20,,,,,50,,,,,,,,,human anti-hepatitis B immunoglobulin(I.V.) 10KI.U(200I.U/mL)
050800391,2024-06-01,급여,352297,,주사,리브감마에스앤주5%[말토즈첨가사람면역글로불린(pH4.25)]_(10g/200mL),200,mL/병,에스케이플라즈마(주),634,169940BIJ,전문의약품,원가보전,,,,,2024-05-30,,,,,200,,,,,,,,,human immunoglobulin G(폴리에칠렌글리콜처리) 10g(50mg/mL)
050800401,2024-08-01,급여,41605,,주사,리브감마에스앤주10%(글리신첨가사람면역글로불린(pH4.9))_(1g/10mL),10,mL/병,에스케이플라즈마(주),634,169935BIJ,전문의약품,,,,,,2024-07-24,,,,,10,,,,,,,,,human immunoglobulin G 1g(0.1g/mL)
050800402,2024-08-01,급여,105689,,주사,리브감마에스앤주10%(글리신첨가사람면역글로불린(pH4.9))_(3g/30mL),30,mL/병,에스케이플라즈마(주),634,169941BIJ,전문의약품,,,,,,2024-07-24,,,,,30,,,,,,,,,human immunoglobulin G 3g(0.1g/mL)
050800403,2024-08-01,급여,360248,,주사,리브감마에스앤주10%(글리신첨가사람면역글로불린(pH4.9))_(10g/100mL),100,mL/병,에스케이플라즈마(주),634,169938BIJ,전문의약품,,,,,,2024-07-24,,,,,100,,,,,,,,,human immunoglobulin G 10g(0.1g/mL)
050800404,2024-09-01,급여,522360,,주사,리브감마에스앤주10%(글리신첨가사람면역글로불린(pH4.9))_(15g/150mL),150,mL/병,에스케이플라즈마(주),634,169942BIJ,전문의약품,,,,,,2024-08-28,,,,,150,,,,,,,,,human immunoglobulin G 15g(0.1g/mL)
051500010,2016-10-01,삭제,,,주사,브렌시스50밀리그램프리필드시린지(에타너셉트),1,관,삼성바이오에피스(주),439,455802BIJ,전문의약품,,,,,,2015-12-22,,,,,1,,,,,051500010,051500011,,,
051500011,2024-07-01,급여,127443,,주사,에톨로체50밀리그램프리필드시린지(에타너셉트)_(50mg/1관),1,관,삼성바이오에피스(주),439,455831BIJ,전문의약품,,,,,,2024-05-27,,,,,1,,,,,051500010,,,,etanercept 50mg(50mg/mL)
051500021,2024-07-01,급여,285236,,주사,"레마로체주100밀리그램(인플릭시맵)(단클론항체,유전자재조합)_(0.1g/1병)",1,병,삼성바이오에피스(주),439,383501BIJ,전문의약품,,,,,,2024-05-27,,,,,1,,,,,,,,,infliximab 0.1g
051500031,2024-07-01,급여,278612,,주사,삼페넷주150밀리그램(트라스투주맙)_(0.15g/1병),1,병,삼성바이오에피스(주),421,242802BIJ,전문의약품,,,,,,2024-05-27,,,,,1,,,,,,,,,trastuzumab 0.15g
051500041,2024-07-01,급여,127443,,주사,에톨로체50밀리그램프리필드펜주(에타너셉트)_(50mg/1mL),1,mL/펜,삼성바이오에피스(주),439,455831BIJ,전문의약품,,,,,,2024-05-27,,,,,1,,,,,,,,,etanercept 50mg(50mg/mL)
051500051,2024-07-01,급여,243495,,주사,"아달로체프리필드시린지주40밀리그램(아달리무맙,유전자재조합)_(40mg/0.8mL)",0.8,mL/관,삼성바이오에피스(주),439,488430BIJ,전문의약품,,,,,,2024-05-27,,,,,0.8,,,,,,,,,adalimumab 40mg(50mg/mL)
051500061,2024-07-01,급여,243495,,주사,"아달로체프리필드펜주40밀리그램(아달리무맙,유전자재조합)_(40mg/0.8mL)",0.8,mL/펜,삼성바이오에피스(주),439,488430BIJ,전문의약품,,,,,,2024-05-27,,,,,0.8,,,,,,,,,adalimumab 40mg(50mg/mL)
051500071,2024-07-01,급여,816811,,주사,삼페넷주440밀리그램(트라스투주맙)_(0.44g/1병),1,병,삼성바이오에피스(주),421,242801BIJ,전문의약품,,,,,,2024-05-27,,,,,1,,,,,,,,,trastuzumab 0.44g
051500081,2024-07-01,급여,205776,,주사,온베브지주(베바시주맙)_(0.1g/4mL),4,mL/병,삼성바이오에피스(주),421,554330BIJ,전문의약품,,,,,,2024-05-27,,,,,4,,,,,,,,,bevacizumab 0.1g(25mg/mL)
051500082,2024-07-01,급여,670448,,주사,온베브지주(베바시주맙)_(0.4g/16mL),16,mL/병,삼성바이오에피스(주),421,554331BIJ,전문의약품,,,,,,2024-05-27,,,,,16,,,,,,,,,bevacizumab 0.4g(25mg/mL)
051500091,2025-06-01,급여,150000,,주사,"아멜리부주10밀리그램/밀리리터(라니비주맙,유전자재조합)_(2.3mg/0.23mL)",0.23,mL/병,삼성바이오에피스(주),439,503631BIJ,전문의약품,,,,,,2025-05-20,,,,,0.23,,,,,,,,,ranibizumab 2.3mg(10mg/mL)
051500101,2023-06-01,급여,244877,,주사,"아달로체펜주40mg/0.4mL(아달리무맙,유전자재조합)_(40mg/0.4mL)",0.4,mL/펜,삼성바이오에피스(주),439,488431BIJ,전문의약품,,,,,,2023-05-25,,,,,0.4,,,,,,,,,adalimumab 40mg(100mg/mL)
051500111,2023-06-01,급여,244877,,주사,"아달로체프리필드시린지주40mg/0.4mL(아달리무맙,유전자재조합)_(40mg/0.4mL)",0.4,mL/관,삼성바이오에피스(주),439,488431BIJ,전문의약품,,,,,,2023-05-25,,,,,0.4,,,,,,,,,adalimumab 40mg(100mg/mL)
051500121,2024-05-01,급여,350000,,주사,아필리부주40밀리그램/밀리리터(애플리버셉트)_(11.12mg/0.278mL),0.278,mL/병,삼성바이오에피스(주),439,623931BIJ,전문의약품,,,,,,2024-04-24,,,,,0.278,,,,,,,,,aflibercept 11.12mg(40mg/mL)
051500131,2024-04-01,급여,2514858,,주사,에피스클리주(에쿨리주맙)_(0.3g/30mL),30,mL/병,삼성바이오에피스(주),639,588530BIJ,전문의약품,,,,(45),,2024-03-28,,희귀의약품,,,30,,,,,,,,,eculizumab 0.3g(10mg/mL)
051500141,2025-01-01,급여,1233376,,주사,에피즈텍프리필드주(우스테키누맙)_(45mg/0.5mL),0.5,mL/관,삼성바이오에피스(주),142,615030BIJ,전문의약품,,,,,,2024-12-24,,,,,0.5,,,,,,,,,ustekinumab 45mg(90mg/mL)
051500151,2025-01-01,급여,1275204,,주사,에피즈텍프리필드주(우스테키누맙)_(90mg/1mL),1,mL/관,삼성바이오에피스(주),142,615031BIJ,전문의약품,,,,,,2024-12-24,,,,,1,,,,,,,,,ustekinumab 90mg(90mg/mL)
051500161,2025-01-01,급여,1278313,,주사,에피즈텍정맥주사(우스테키누맙)_(0.13g/26mL),26,mL/병,삼성바이오에피스(주),142,615032BIJ,전문의약품,,,,,,2024-12-24,,,,,26,,,,,,,,,ustekinumab 0.13g(5mg/mL)
051500191,2025-07-01,급여,108290,,주사,오보덴스프리필드시린지(데노수맙)_(60mg/1mL),1,mL/관,삼성바이오에피스(주),399,629001BIJ,전문의약품,,,,,,2025-06-24,,,,,1,,,,,,,,,denosumab 60mg(60mg/mL)
051500201,2025-08-01,급여,171084,,주사,엑스브릭주(데노수맙)_(0.12g/1.7mL),1.7,mL/병,삼성바이오에피스(주),399,629002BIJ,전문의약품,,,,,,2025-07-24,,,,,1.7,,,,,,,,,denosumab 0.12g(70mg/mL)
051600030,2023-02-01,삭제,,,내복,잔탁정75밀리그램(라니티딘염산염)_(84mg/1정),1,정,(주)글락소스미스클라인컨슈머헬스케어코리아,232,222805ATB,일반의약품,,생동(사후통보),대체조제가능,,,2022-07-22,,,,,1,,,,,051600030,,,,
051600131,2025-02-01,삭제,,,외용,라미실크림1%(염산테르비나핀)_(0.15g/15g),15,g/개,(주)글락소스미스클라인컨슈머헬스케어코리아,265,235731CCM,일반의약품,,,,,,2024-07-24,,,,,15,,,,,051600131,057200141,,,terbinafine hydrochloride 0.15g(10mg/g)
051600132,2025-02-01,삭제,,,외용,라미실크림1%(테르비나핀염산염)_(0.3g/30g),30,g/개,(주)글락소스미스클라인컨슈머헬스케어코리아,265,235735CCM,일반의약품,,,,,,2024-07-24,,,,,30,,,,,051600132,057200142,,,terbinafine hydrochloride 0.3g(10mg/g)
051600141,2025-04-01,삭제,,,외용,라미실외용액(염산테르비나핀)_(0.3g/30mL),30,mL/병,(주)글락소스미스클라인컨슈머헬스케어코리아,265,235736CLQ,일반의약품,,,,,,2024-09-25,,,,,30,,,,,051600141,057200151,,,terbinafine hydrochloride 0.3g(10mg/mL)
051600161,2020-11-01,삭제,,,외용,볼타렌에멀겔(디클로페낙디에칠암모늄)_(0.232g/20g),20,g/개,(주)글락소스미스클라인컨슈머헬스케어코리아,264,143330CCM,일반의약품,,,,,,2020-10-23,,,,,20,,,,,051600161,,,,
051600162,2022-01-01,급여,1950,,외용,볼타렌에멀겔(디클로페낙디에칠암모늄)_(0.58g/50g),50,g/개,(주)글락소스미스클라인컨슈머헬스케어코리아,264,143331CCM,일반의약품,,,,,,2021-08-26,,,,200108778,50,,,,,653600432,,,,diclofenac diethylammonium (as diclofenac sodium 0.5g(10mg/g))
051600350,2021-04-01,급여,81,,내복,칼트레이트디400_(1정),1,정,(주)글락소스미스클라인컨슈머헬스케어코리아,321,302600ATB,일반의약품,,,,,,2021-03-24,,,,,1,,,,,648902350,,,,calcium carbonate 1.5g
051700010,2016-10-01,삭제,,,내복,엔유린오디프스산0.1밀리그램(데스모프레신아세트산염),1,포,(주)코아팜바이오,241,141401APD,전문의약품,,,,,,2015-12-22,,,,,1,,,,,051700010,051700011,,,desmopressin acetate (as desmopressin 89μg)
